number,name,sector
241,Real Value (Pty) Ltd T/A Universal Life,Agencies
242,Refresh-Link (Pty) Ltd,Agencies
243,Resmack (Pty) Ltd,Agencies
244,Retail Holdings Botswana (Pty) Ltd,Agencies
245,Rock Insurance Agencies (Pty) Ltd,Agencies
246,S.M.P Insurance Agency (Pty) Ltd,Agencies
247,Safe Line Marketing (Pty) Ltd,Agencies
248,Segai le Thebe Insurance Scheme (Pty) Ltd T/A Thebe Legal Insurance ,Agencies
249,Senatla Insurance Agency (Pty) Ltd,Agencies
250,Sepapane Group (Pty) Ltd t/a Creative Gains Investment,Agencies
251,Sepipi Construction (Pty) Ltd t/a Side Group Consultancy,Agencies
252,Serge Risk Services (Pty) Ltd t/a Inserge,Agencies
253,Seriti Business Solutions (Pty) Ltd,Agencies
254,Skyplex Investments (Pty) Ltd,Agencies
255,Spaar Botswana Group Management Services (Pty) Ltd T/A G.R.F Management Services,Agencies
256,Stanbic Insurance Services (Pty) Ltd,Agencies
257,Standard Chartered Bank Insurance (Pty) Ltd,Agencies
258,Sterling Managemnt Services (Pty) Ltd,Agencies
259,Tau Insurance Services (Pty) Ltd,Agencies
260,Tautona Insurance Agencies (Pty) Ltd,Agencies
261,Thanya Solutions (Pty) Ltd t/a Thanya Insurance Brokers  ,Agencies
262,The Diary Life Insurance (Pty) Ltd ,Agencies
263,The O'Mach Insurance Agency (Pty) Ltd,Agencies
264,The Tushiya Wisdom Insurance Agency (Pty) Ltd,Agencies
265,Tishbo Holdings (Pty) Ltd,Agencies
266,Trinity Insurance Consultancy &amp; Risk Managers (Pty) Ltd,Agencies
267,Tri-Unity Holings (Pty) Ltd t/a Botsure Insurance Agencies,Agencies
268,Tsodilo Capital (Pty) Ltd,Agencies
269,Tsogang Insurance Agency (Pty) Ltd,Agencies
270,Unicoin (Pty) Ltd,Agencies
271,Uyalicious Holdings (Pty) Ltd t/a Green Life Insurance ,Agencies
272,Wealth Achieve Advisors (Pty) Ltd,Agencies
273,Wealth Genix (Pty) Ltd,Agencies
274,Weaver Insurance Agency (Pty) Ltd,Agencies
275,Winning Pillar (Pty) Ltd,Agencies
276,Wisepillars (Pty) Ltd,Agencies
277,World Cover Training Institute (Pty) Ltd,Agencies
278,Zee Light Holding (Pty) Ltd,Agencies
102,Corporate Guarantee and Insurance Company of Botswana Limited,General Insurer
